train_loss,val_loss,train_acc,val_acc
0.41953905752624376,0.28218792378902435,80.24270003792188,87.2340425531915
0.27164825653455343,0.2310862338001078,87.40993553280244,89.05775075987842
0.21436552784170013,0.22934498366984454,90.86082669700417,89.66565349544074
0.18959634032953215,0.23817543279040942,91.69510807736063,89.96960486322189
0.15653596028506037,0.23271988941864533,93.7428896473265,89.05775075987842
0.1189934873886137,0.21359136158769781,95.22184300341297,92.40121580547113
0.10859469259269984,0.2040856395932761,95.75274933636709,92.40121580547113
0.07899793179099818,0.3511259633709084,97.34546833522943,89.96960486322189
0.10353025892771871,0.315935761413791,96.13196814562002,89.05775075987842
0.08118835828794413,0.2604167651046406,96.9283276450512,90.5775075987842
0.060913680839430856,0.29574243182485754,97.64884338263178,91.1854103343465
0.03990895283991942,0.2431972013278441,98.90026545316648,91.1854103343465
0.03217144354796374,0.20947142148559744,98.86234357224119,91.48936170212765
0.017942355179889912,0.3579770882021297,99.65870307167235,90.88145896656535
0.017027074537037994,0.3526195362210274,99.54493742889647,90.27355623100304
0.01539573021771678,0.260174395177852,99.58285930982177,91.48936170212765
0.016559314214153194,0.2633886770768599,99.46909366704588,91.7933130699088
0.013929013603265924,0.3125059547072107,99.58285930982177,91.1854103343465
0.016389794952056586,0.2884999696503986,99.58285930982177,91.7933130699088
0.006733472108369671,0.2879853959787976,99.88623435722411,92.09726443768997
0.01340408561995298,0.28223541514440015,99.62078119074707,92.40121580547113
0.010880693139687899,0.2798585905270143,99.73454683352294,92.09726443768997
0.005438815707660628,0.2836669114502994,99.88623435722411,92.40121580547113
0.007880834373785743,0.2971514510837468,99.81039059537353,92.40121580547113
0.0044448394300303905,0.2914364439519969,99.9620781190747,91.7933130699088
0.005026727386032152,0.2830830006436868,100.0,92.70516717325228
0.005477429714042649,0.27843865007162094,99.92415623814941,92.70516717325228
0.0058250776520111115,0.28770204938270827,99.92415623814941,92.09726443768997
0.0040708241149003295,0.29669378156011755,100.0,91.1854103343465
0.003889433161919398,0.2669546455144882,100.0,93.00911854103343
